Bushehr NPP      Operating period  1         Cur. time 08.07.2013 11:05:59.910  Server  DS2 (oper. arch.)
Unit 1           Teff              121.6     Begining time  08.07.2013 08:00:00.000
RSA protocol     Nakz              2979      Final time  08.07.2013 09:00:00.000

Time                    |12YQS24CT003XQ01|12YQS25CT003XQ01|12YQS26CT003XQ01|12YQS27CT003XQ01|12YQS28CT003XQ01|12YQS29CT003XQ01|12YQS30CT003XQ01|12YQS31CT003XQ01|12YQS32CT003XQ01|12YQS33CT003XQ01|12YQS34CT003XQ01|12YQS35CT003XQ01|12YQS36CT003XQ01|12YQS37CT003XQ01|12YQS38CT003XQ01|12YQS39CT003XQ01|12YQS40CT003XQ01|12YQS41CT003XQ01|12YQS42CT003XQ01|12YQS43CT003XQ01|12YQS44CT003XQ01|12YQS45CT003XQ01|12YQS46CT003XQ01|12YQS53CT003XQ01|12YQS54CT003XQ01|
08.07.2013 08:03:10.000 |315.02          |320.36          |321.06          |314.47          |320.27          |318.92          |321.24          |319.12          |319.23          |316.90          |317.69          |320.17          |312.29          |326.52          |318.55          |315.91          |316.75          |323.06          |317.90          |321.33          |318.76          |318.25          |315.90          |318.13          |310.88          |
08.07.2013 08:03:20.000 |315.11          |320.47          |321.00          |314.41          |319.96          |318.98          |321.29          |319.23          |319.29          |316.78          |317.75          |320.14          |312.09          |326.41          |318.58          |315.91          |316.81          |323.00          |317.64          |320.87          |318.81          |318.48          |315.73          |318.24          |310.70          |
08.07.2013 08:03:30.000 |315.05          |320.39          |321.03          |314.22          |320.25          |318.86          |321.07          |319.18          |319.14          |316.90          |317.81          |320.14          |312.15          |325.18          |318.63          |315.88          |316.78          |323.00          |317.69          |321.27          |318.76          |318.54          |315.64          |318.19          |310.73          |
08.07.2013 08:03:40.000 |315.02          |320.22          |321.06          |314.41          |320.22          |318.60          |321.21          |319.18          |319.06          |316.78          |317.75          |319.89          |312.09          |326.43          |318.52          |315.93          |316.67          |322.95          |317.78          |321.02          |318.75          |318.54          |315.73          |317.99          |310.62          |
08.07.2013 08:03:50.000 |315.05          |320.36          |320.97          |314.19          |320.22          |318.81          |321.27          |318.98          |319.17          |316.87          |317.78          |320.23          |312.35          |326.43          |318.46          |315.93          |316.58          |322.89          |317.95          |321.16          |318.61          |318.54          |315.47          |318.04          |310.53          |
08.07.2013 08:04:00.000 |315.05          |320.44          |321.00          |314.25          |320.48          |318.72          |320.90          |318.95          |319.32          |316.73          |317.69          |320.29          |312.09          |325.40          |318.66          |315.82          |316.78          |322.95          |317.72          |321.44          |318.75          |318.17          |315.76          |318.01          |310.73          |
08.07.2013 08:04:10.000 |315.13          |320.36          |321.03          |314.36          |320.31          |318.95          |321.04          |319.18          |319.31          |316.78          |317.83          |320.31          |312.09          |326.47          |318.54          |315.88          |316.67          |323.09          |317.67          |320.70          |318.75          |318.51          |315.84          |317.99          |310.76          |
08.07.2013 08:04:20.000 |315.05          |320.41          |320.95          |314.25          |320.11          |318.83          |321.21          |319.12          |319.34          |316.90          |317.75          |320.23          |312.43          |325.61          |318.74          |315.93          |316.75          |323.06          |317.78          |321.39          |318.81          |318.59          |315.96          |318.16          |310.87          |
08.07.2013 08:04:30.000 |315.11          |320.44          |320.95          |314.13          |320.34          |318.86          |320.98          |319.29          |319.34          |316.70          |317.81          |320.09          |312.17          |326.35          |318.51          |315.79          |316.70          |322.97          |317.78          |321.18          |318.78          |318.17          |315.81          |318.16          |310.73          |
08.07.2013 08:04:40.000 |315.08          |320.36          |320.92          |314.45          |320.14          |318.81          |321.13          |319.09          |319.26          |316.75          |317.83          |319.97          |312.23          |325.35          |318.68          |315.85          |316.64          |322.97          |317.47          |320.53          |318.75          |318.54          |315.76          |318.19          |311.07          |
08.07.2013 08:04:50.000 |315.11          |320.44          |321.06          |314.13          |320.25          |318.89          |321.30          |319.09          |319.11          |316.84          |317.78          |320.17          |312.03          |325.32          |318.63          |315.93          |316.58          |322.95          |317.70          |321.36          |318.47          |318.62          |315.76          |318.24          |310.73          |
08.07.2013 08:05:00.000 |315.13          |320.47          |320.97          |314.45          |320.19          |318.86          |321.01          |318.98          |319.23          |316.67          |317.78          |320.23          |312.17          |326.44          |318.43          |315.88          |316.81          |323.03          |317.61          |320.90          |318.72          |318.39          |315.73          |318.04          |310.81          |
08.07.2013 08:05:10.000 |315.05          |320.47          |321.09          |314.56          |320.36          |318.89          |321.44          |319.12          |319.23          |316.84          |317.92          |320.23          |312.14          |325.58          |318.57          |315.82          |316.78          |323.09          |317.67          |321.38          |318.78          |318.68          |315.73          |318.21          |310.81          |
08.07.2013 08:05:20.000 |315.13          |320.47          |321.14          |314.59          |320.25          |318.89          |321.01          |319.32          |319.23          |316.93          |317.83          |320.06          |312.06          |326.58          |318.65          |315.96          |316.87          |322.97          |317.67          |321.33          |318.84          |318.71          |315.84          |318.33          |310.87          |
08.07.2013 08:05:30.000 |315.05          |320.36          |320.97          |314.44          |320.10          |319.03          |321.27          |319.01          |319.32          |316.90          |317.75          |320.29          |312.29          |325.72          |318.65          |316.05          |316.61          |323.00          |317.84          |321.13          |318.78          |318.68          |315.61          |318.21          |310.64          |
08.07.2013 08:05:40.000 |315.11          |320.41          |321.09          |314.44          |320.30          |318.86          |321.50          |319.29          |319.35          |316.93          |317.95          |320.17          |312.17          |326.72          |318.71          |316.11          |316.84          |323.12          |317.90          |321.33          |318.90          |318.74          |315.95          |318.07          |311.01          |
08.07.2013 08:05:50.000 |315.22          |320.41          |321.12          |314.47          |320.39          |318.80          |321.35          |319.15          |319.23          |316.87          |317.89          |320.23          |312.32          |325.69          |318.63          |315.93          |316.75          |323.03          |317.67          |320.64          |318.78          |318.26          |315.81          |318.19          |311.02          |
08.07.2013 08:06:00.000 |315.13          |320.47          |321.12          |314.50          |320.33          |319.00          |321.44          |319.12          |319.23          |316.87          |317.89          |320.40          |312.23          |325.44          |318.57          |315.91          |316.84          |323.06          |317.90          |320.50          |318.75          |318.68          |315.90          |318.19          |310.93          |
08.07.2013 08:06:10.000 |315.13          |320.44          |321.20          |314.62          |320.13          |318.92          |321.35          |319.46          |319.29          |316.90          |317.92          |320.34          |312.40          |325.41          |318.57          |316.05          |316.84          |323.06          |317.90          |321.50          |318.81          |318.65          |316.01          |318.30          |310.93          |
08.07.2013 08:06:20.000 |315.10          |320.56          |321.17          |314.70          |320.36          |318.89          |321.10          |319.32          |319.26          |316.93          |317.92          |320.37          |312.35          |326.58          |318.71          |316.08          |316.70          |323.12          |317.67          |321.07          |318.86          |318.71          |315.84          |318.19          |311.04          |
08.07.2013 08:06:30.000 |315.19          |320.47          |321.12          |314.42          |320.42          |318.75          |321.18          |319.32          |319.29          |316.87          |317.81          |320.37          |312.14          |325.49          |318.54          |315.96          |316.78          |323.12          |317.75          |320.70          |318.78          |318.71          |315.98          |318.16          |310.84          |
08.07.2013 08:06:40.000 |315.25          |320.52          |321.12          |314.45          |320.36          |318.77          |321.53          |319.26          |319.46          |317.07          |317.89          |320.23          |312.37          |325.49          |318.71          |316.02          |316.98          |323.15          |317.75          |321.30          |318.89          |318.80          |315.87          |318.18          |310.84          |
08.07.2013 08:06:50.000 |315.25          |320.67          |321.23          |314.50          |320.41          |318.92          |321.38          |319.23          |319.46          |317.07          |317.86          |320.37          |312.17          |325.72          |318.74          |316.11          |316.98          |323.17          |317.72          |321.78          |319.04          |318.79          |316.07          |318.30          |311.13          |
08.07.2013 08:07:00.000 |315.16          |320.47          |321.26          |314.42          |320.47          |318.77          |321.38          |319.12          |319.26          |316.96          |317.92          |320.37          |312.43          |326.52          |318.60          |316.13          |316.67          |323.15          |317.84          |321.47          |318.92          |318.71          |315.95          |318.24          |310.70          |
08.07.2013 08:07:10.000 |315.22          |320.61          |321.06          |314.36          |320.33          |318.97          |321.50          |319.26          |319.35          |316.93          |318.01          |320.28          |312.34          |326.55          |318.85          |315.99          |316.78          |323.23          |317.78          |321.44          |318.61          |318.65          |315.81          |318.30          |310.90          |
08.07.2013 08:07:20.000 |315.22          |320.47          |321.12          |314.59          |320.27          |318.95          |321.24          |319.18          |319.29          |316.90          |317.89          |320.23          |312.37          |325.67          |318.60          |315.91          |316.84          |323.09          |317.95          |321.38          |318.84          |318.63          |315.95          |318.35          |311.16          |
08.07.2013 08:07:30.000 |315.16          |320.44          |320.97          |314.42          |320.33          |318.89          |321.35          |319.06          |319.23          |316.90          |317.86          |320.28          |312.31          |326.61          |318.65          |316.02          |316.75          |323.06          |317.90          |321.49          |318.86          |318.60          |315.95          |318.24          |311.01          |
08.07.2013 08:07:40.000 |315.13          |320.50          |321.12          |314.36          |320.41          |318.72          |321.24          |319.12          |319.17          |316.93          |317.78          |320.45          |312.46          |326.50          |318.63          |316.02          |316.67          |323.12          |317.87          |320.73          |318.75          |318.68          |315.90          |318.21          |310.84          |
08.07.2013 08:07:50.000 |315.33          |320.55          |321.17          |314.45          |320.53          |318.72          |321.07          |319.12          |319.37          |316.90          |318.01          |320.45          |312.31          |325.75          |318.71          |316.08          |316.84          |323.12          |317.93          |320.84          |318.80          |318.83          |316.01          |318.41          |311.27          |
08.07.2013 08:08:00.000 |315.21          |320.52          |321.17          |314.67          |320.53          |319.00          |321.53          |319.32          |319.17          |316.95          |318.01          |320.40          |312.60          |325.67          |318.74          |316.11          |316.87          |323.12          |317.95          |321.55          |318.89          |318.63          |315.96          |318.38          |311.07          |
08.07.2013 08:08:10.000 |315.21          |320.58          |321.17          |314.42          |320.44          |319.03          |321.41          |319.37          |319.43          |316.98          |317.95          |320.37          |312.40          |326.50          |318.71          |316.11          |316.98          |323.09          |318.04          |321.52          |318.97          |318.71          |315.84          |318.29          |310.84          |
08.07.2013 08:08:20.000 |315.19          |320.50          |321.20          |314.65          |320.47          |319.03          |321.30          |319.26          |319.23          |316.98          |317.75          |320.28          |312.54          |326.52          |318.59          |316.05          |316.67          |323.09          |317.78          |321.24          |318.83          |318.65          |315.79          |318.15          |310.75          |
08.07.2013 08:08:30.000 |315.19          |320.46          |321.09          |314.50          |320.33          |319.00          |321.35          |319.26          |319.32          |316.84          |317.78          |320.28          |312.37          |326.67          |318.63          |315.99          |316.84          |323.09          |317.67          |321.27          |318.83          |318.57          |315.93          |318.15          |311.07          |
08.07.2013 08:08:40.000 |315.13          |320.41          |320.97          |314.13          |320.27          |318.86          |321.07          |319.00          |319.35          |316.87          |317.81          |320.14          |312.20          |326.38          |318.71          |315.99          |316.84          |323.03          |317.75          |321.55          |318.83          |318.54          |315.76          |318.24          |310.67          |
08.07.2013 08:08:50.000 |315.24          |320.52          |321.12          |314.50          |320.24          |318.71          |321.30          |319.15          |319.26          |316.89          |317.81          |320.20          |312.22          |325.46          |318.68          |315.99          |316.73          |323.00          |317.72          |321.35          |318.75          |318.68          |315.79          |318.12          |310.81          |
08.07.2013 08:09:00.000 |315.07          |320.46          |321.14          |314.45          |320.19          |318.89          |321.47          |318.95          |319.23          |316.92          |317.81          |320.25          |312.25          |326.47          |318.62          |315.91          |316.78          |323.03          |317.75          |320.61          |318.66          |318.68          |315.67          |318.27          |310.55          |
08.07.2013 08:09:10.000 |315.21          |320.52          |321.09          |314.48          |320.33          |319.17          |322.81          |319.12          |319.37          |316.98          |317.83          |320.22          |312.51          |325.35          |318.71          |316.13          |316.75          |323.06          |318.07          |321.35          |318.86          |318.68          |315.81          |318.18          |310.75          |
08.07.2013 08:09:20.000 |315.16          |320.55          |321.14          |314.62          |320.50          |319.00          |321.21          |319.26          |319.40          |316.89          |317.83          |320.25          |312.43          |326.38          |318.62          |315.96          |316.70          |323.15          |317.90          |321.52          |318.86          |318.60          |315.87          |318.38          |310.96          |
08.07.2013 08:09:30.000 |315.36          |320.49          |321.26          |314.70          |320.47          |318.94          |321.53          |318.97          |319.43          |317.12          |317.98          |320.45          |312.74          |325.78          |318.65          |316.08          |316.92          |323.15          |318.01          |321.52          |318.97          |318.83          |315.90          |318.27          |310.78          |
08.07.2013 08:09:40.000 |315.16          |320.55          |321.12          |314.45          |320.44          |318.94          |322.70          |319.29          |319.31          |316.98          |317.95          |320.42          |312.31          |326.09          |318.74          |316.16          |316.84          |323.15          |317.87          |321.47          |318.91          |318.68          |316.01          |318.27          |311.07          |
08.07.2013 08:09:50.000 |315.21          |320.49          |321.18          |314.39          |320.19          |319.14          |323.01          |319.09          |319.40          |316.92          |317.89          |320.36          |312.45          |326.49          |318.71          |316.22          |316.84          |323.15          |317.98          |321.52          |318.89          |318.79          |315.93          |318.27          |310.73          |
08.07.2013 08:10:00.000 |315.30          |320.64          |321.23          |314.42          |320.36          |319.11          |321.53          |319.15          |319.46          |317.09          |317.95          |320.42          |312.48          |325.86          |318.76          |316.16          |316.95          |323.15          |317.87          |321.07          |319.03          |318.68          |316.07          |318.44          |310.90          |
08.07.2013 08:10:10.000 |315.16          |320.49          |321.23          |314.56          |320.38          |318.85          |322.15          |319.09          |319.31          |317.09          |318.09          |320.45          |312.57          |326.66          |318.68          |316.08          |317.01          |323.09          |317.93          |321.61          |318.89          |318.65          |315.99          |318.15          |311.01          |
08.07.2013 08:10:20.000 |315.25          |320.49          |321.14          |314.50          |320.41          |319.05          |322.61          |319.26          |319.51          |316.92          |317.98          |320.51          |312.37          |326.84          |318.68          |316.11          |316.81          |323.15          |317.90          |321.06          |318.94          |318.77          |315.90          |318.27          |310.87          |
08.07.2013 08:10:30.000 |315.27          |320.52          |321.26          |314.50          |320.47          |318.88          |321.61          |319.23          |319.40          |317.03          |317.92          |320.42          |312.48          |325.86          |318.76          |316.19          |316.93          |323.18          |317.95          |321.10          |318.94          |318.80          |315.99          |318.21          |310.90          |
08.07.2013 08:10:40.000 |315.10          |320.46          |321.20          |314.48          |320.44          |318.91          |321.61          |319.03          |319.31          |316.98          |317.89          |320.42          |312.43          |325.60          |318.54          |316.08          |316.84          |323.03          |317.90          |321.15          |318.77          |318.74          |315.90          |318.21          |310.78          |
08.07.2013 08:10:50.000 |315.19          |320.55          |321.03          |314.53          |320.16          |319.11          |321.18          |319.26          |319.37          |316.81          |317.83          |320.14          |312.43          |326.55          |318.79          |316.02          |316.75          |323.15          |317.61          |321.43          |318.89          |318.59          |315.93          |318.24          |310.96          |
08.07.2013 08:11:00.000 |315.07          |320.46          |321.12          |314.48          |320.27          |319.00          |321.30          |319.26          |319.23          |316.92          |317.95          |320.19          |312.25          |326.55          |318.65          |316.02          |316.90          |323.03          |317.81          |321.44          |318.80          |318.65          |315.84          |318.18          |310.78          |
08.07.2013 08:11:10.000 |315.13          |320.46          |321.00          |314.62          |320.36          |318.97          |321.50          |319.20          |319.26          |316.92          |317.86          |320.28          |312.40          |326.49          |318.60          |315.93          |316.70          |323.15          |317.67          |321.44          |318.91          |318.57          |315.93          |318.24          |310.96          |
08.07.2013 08:11:20.000 |315.27          |320.35          |321.17          |314.25          |320.33          |319.05          |321.38          |318.95          |319.14          |316.89          |317.69          |320.39          |312.28          |326.52          |318.57          |315.93          |316.81          |323.01          |317.92          |321.04          |318.80          |318.57          |315.76          |318.18          |310.55          |
