Bushehr NPP      Operating period  1         Cur. time 08.07.2013 11:05:15.249  Server  DS2 (oper. arch.)
Unit 1           Teff              121.6     Begining time  08.07.2013 08:00:00.000
RSA protocol     Nakz              2979      Final time  08.07.2013 09:00:00.000

Time                    |11YQS01CT001XQ01|11YQS02CT001XQ01|11YQS03CT001XQ01|11YQS04CT001XQ01|11YQS05CT001XQ01|11YQS06CT001XQ01|11YQS07CT001XQ01|11YQS08CT001XQ01|11YQS09CT001XQ01|11YQS10CT001XQ01|11YQS11CT001XQ01|11YQS12CT001XQ01|11YQS13CT001XQ01|11YQS14CT001XQ01|11YQS15CT001XQ01|11YQS16CT001XQ01|11YQS17CT001XQ01|11YQS18CT001XQ01|11YQS19CT001XQ01|11YQS20CT001XQ01|11YQS21CT001XQ01|11YQS22CT001XQ01|11YQS23CT001XQ01|11YQS51CT001XQ01|11YQS52CT001XQ01|12YQS24CT001XQ01|12YQS25CT001XQ01|12YQS26CT001XQ01|12YQS27CT001XQ01|12YQS28CT001XQ01|12YQS29CT001XQ01|12YQS30CT001XQ01|12YQS31CT001XQ01|12YQS32CT001XQ01|12YQS33CT001XQ01|12YQS34CT001XQ01|12YQS35CT001XQ01|12YQS36CT001XQ01|12YQS37CT001XQ01|12YQS38CT001XQ01|12YQS39CT001XQ01|12YQS40CT001XQ01|12YQS41CT001XQ01|12YQS42CT001XQ01|12YQS43CT001XQ01|12YQS44CT001XQ01|12YQS45CT001XQ01|12YQS46CT001XQ01|12YQS53CT001XQ01|12YQS54CT001XQ01|
08.07.2013 08:01:40.000 |293.53          |290.54          |291.22          |290.61          |290.75          |293.38          |290.33          |291.56          |291.09          |290.73          |290.99          |290.75          |291.55          |290.72          |291.41          |291.30          |290.95          |291.80          |291.14          |290.94          |291.38          |291.65          |290.70          |0.000           |0.000           |290.77          |291.17          |291.21          |291.36          |291.50          |290.83          |291.36          |291.12          |290.81          |291.00          |291.27          |291.41          |289.90          |292.95          |291.48          |291.31          |298.93          |291.20          |290.72          |290.96          |291.12          |291.81          |290.67          |0.000           |0.000           |
08.07.2013 08:01:50.000 |293.53          |290.54          |291.22          |290.67          |290.77          |293.44          |290.39          |291.67          |291.09          |290.79          |290.93          |290.80          |291.61          |290.78          |291.44          |291.27          |290.96          |291.80          |291.19          |291.03          |291.41          |291.77          |290.75          |0.000           |0.000           |290.83          |291.17          |291.23          |291.39          |291.56          |290.83          |291.42          |291.24          |290.84          |290.97          |291.24          |291.41          |289.90          |293.04          |291.48          |291.39          |298.90          |291.17          |290.80          |290.96          |291.18          |291.84          |290.82          |0.000           |0.000           |
08.07.2013 08:02:00.000 |293.59          |290.62          |291.22          |290.73          |290.80          |293.44          |290.57          |291.64          |291.12          |290.88          |290.99          |290.86          |291.63          |290.84          |291.49          |291.39          |291.02          |291.83          |291.22          |290.94          |291.52          |291.77          |290.98          |0.000           |0.000           |290.92          |291.20          |291.29          |291.48          |291.65          |290.92          |291.45          |291.30          |290.96          |291.02          |291.36          |291.41          |289.96          |293.01          |291.62          |291.39          |298.96          |291.26          |290.78          |291.07          |291.32          |291.84          |290.87          |0.000           |0.000           |
08.07.2013 08:02:10.000 |293.65          |290.68          |291.27          |290.73          |290.86          |293.47          |290.62          |291.67          |291.15          |290.88          |291.02          |290.84          |291.69          |290.81          |291.55          |291.27          |291.10          |291.88          |291.31          |290.91          |291.58          |291.77          |290.93          |0.000           |0.000           |291.00          |291.28          |291.38          |291.51          |291.68          |291.00          |291.36          |291.38          |290.96          |291.06          |291.39          |291.47          |290.02          |293.01          |291.68          |291.39          |298.99          |291.26          |290.78          |291.13          |291.35          |291.84          |290.93          |0.000           |0.000           |
08.07.2013 08:02:20.000 |293.62          |290.62          |291.33          |290.76          |290.92          |293.53          |290.50          |291.64          |291.18          |290.93          |291.08          |290.89          |291.69          |290.86          |291.58          |291.39          |291.04          |291.91          |291.25          |291.17          |291.61          |291.77          |290.81          |0.000           |0.000           |290.92          |291.28          |291.35          |291.51          |291.65          |291.00          |291.48          |291.29          |290.96          |291.08          |291.33          |291.50          |290.04          |293.04          |291.62          |291.42          |299.01          |291.32          |290.89          |291.13          |291.32          |291.87          |290.82          |0.000           |0.000           |
08.07.2013 08:02:30.000 |293.59          |290.65          |291.30          |290.73          |290.86          |293.53          |290.50          |291.73          |291.20          |290.90          |291.11          |290.89          |291.72          |290.90          |291.58          |291.44          |291.07          |291.91          |291.28          |291.00          |291.58          |291.83          |290.98          |0.000           |0.000           |290.92          |291.28          |291.32          |291.51          |291.68          |290.95          |291.56          |291.32          |290.96          |291.11          |291.33          |291.55          |290.04          |293.07          |291.56          |291.48          |299.04          |291.29          |290.83          |291.13          |291.38          |291.90          |290.96          |0.000           |0.000           |
08.07.2013 08:02:40.000 |293.65          |290.65          |291.27          |290.67          |290.83          |293.41          |290.50          |291.64          |291.18          |290.93          |290.99          |290.84          |291.63          |290.81          |291.49          |291.30          |291.07          |291.86          |291.25          |290.97          |291.52          |291.77          |290.87          |0.000           |0.000           |290.97          |291.23          |291.32          |291.54          |291.62          |290.98          |291.39          |291.32          |290.98          |291.08          |291.36          |291.44          |289.96          |292.96          |291.62          |291.37          |298.96          |291.29          |290.80          |291.07          |291.29          |291.81          |290.87          |0.000           |0.000           |
08.07.2013 08:02:50.000 |293.54          |290.54          |291.19          |290.64          |290.80          |293.50          |290.45          |291.62          |291.06          |290.84          |290.93          |290.78          |291.58          |290.75          |291.52          |291.24          |290.96          |291.80          |291.16          |290.91          |291.49          |291.71          |290.86          |0.000           |0.000           |290.83          |291.17          |291.21          |291.42          |291.57          |290.86          |291.53          |291.24          |290.92          |290.97          |291.25          |291.38          |289.93          |292.99          |291.59          |291.31          |298.93          |291.20          |290.72          |291.01          |291.23          |291.76          |290.82          |0.000           |0.000           |
08.07.2013 08:03:00.000 |293.59          |290.57          |291.16          |290.62          |290.74          |293.35          |290.39          |291.59          |291.06          |290.87          |290.93          |290.78          |291.58          |290.75          |291.41          |291.27          |290.99          |291.77          |291.16          |290.88          |291.43          |291.68          |290.81          |0.000           |0.000           |290.85          |291.14          |291.23          |291.42          |291.57          |290.89          |291.27          |291.21          |290.90          |290.97          |291.30          |291.32          |289.90          |292.87          |291.47          |291.31          |298.90          |291.20          |290.69          |291.04          |291.26          |291.76          |290.64          |0.000           |0.000           |
08.07.2013 08:03:10.000 |293.56          |290.59          |291.19          |290.62          |290.77          |293.44          |290.47          |291.61          |291.09          |290.79          |290.99          |290.78          |291.61          |290.75          |291.52          |291.27          |291.04          |291.80          |291.19          |290.88          |291.52          |291.71          |290.89          |0.000           |0.000           |290.88          |291.17          |291.26          |291.42          |291.54          |290.89          |291.39          |291.27          |290.84          |291.00          |291.22          |291.41          |289.96          |292.99          |291.47          |291.34          |298.93          |291.17          |290.69          |291.04          |291.26          |291.73          |290.84          |0.000           |0.000           |
