Bushehr NPP      Operating period  1         Cur. time 08.07.2013 11:06:53.107  Server  DS2 (oper. arch.)
Unit 1           Teff              121.6     Begining time  08.07.2013 08:00:00.000
RSA protocol     Nakz              2979      Final time  08.07.2013 09:00:00.000

Time                    |10YQR01FT002XQ02|10YQR02FT002XQ02|10YQR03FT002XQ02|10YQR04FT002XQ02|10YQR05FT002XQ02|10YQR06FT002XQ02|10YQR07FT002XQ02|10YQR08FT002XQ02|10YQR09FT002XQ02|10YQR10FT002XQ02|10YQR11FT002XQ02|10YQR12FT002XQ02|10YQR13FT002XQ02|10YQR14FT002XQ02|10YQR15FT002XQ02|10YQR16FT002XQ02|10YQR17FT002XQ02|10YQR18FT002XQ02|10YQR19FT002XQ02|10YQR20FT002XQ02|10YQR21FT002XQ02|10YQR22FT002XQ02|10YQR23FT002XQ02|10YQR24FT002XQ02|10YQR25FT002XQ02|10YQR26FT002XQ02|10YQR27FT002XQ02|10YQR28FT002XQ02|10YQR29FT002XQ02|10YQR30FT002XQ02|10YQR31FT002XQ02|10YQR32FT002XQ02|10YQR33FT002XQ02|10YQR34FT002XQ02|10YQR35FT002XQ02|10YQR36FT002XQ02|10YQR37FT002XQ02|10YQR38FT002XQ02|10YQR39FT002XQ02|10YQR40FT002XQ02|10YQR41FT002XQ02|10YQR42FT002XQ02|10YQR43FT002XQ02|10YQR44FT002XQ02|10YQR45FT002XQ02|10YQR46FT002XQ02|10YQR51FT002XQ02|10YQR52FT002XQ02|10YQR53FT002XQ02|10YQR54FT002XQ02|
08.07.2013 08:01:40.000 |27.898          |29.879          |31.235          |31.475          |32.372          |32.467          |29.382          |28.932          |26.185          |28.981          |32.726          |31.194          |32.924          |29.503          |34.715          |28.364          |31.968          |30.625          |33.670          |29.490          |28.827          |31.563          |27.607          |26.404          |31.570          |32.325          |25.621          |31.593          |30.185          |32.410          |30.245          |30.468          |28.106          |29.239          |31.522          |23.470          |37.811          |29.960          |27.255          |28.018          |34.316          |29.302          |32.764          |30.078          |29.943          |27.192          |30.506          |32.141          |29.511          |22.057          |
08.07.2013 08:01:50.000 |27.430          |29.788          |31.192          |31.472          |32.509          |32.491          |29.497          |28.956          |26.125          |29.144          |32.771          |31.186          |33.172          |29.454          |34.594          |28.414          |31.733          |30.873          |33.746          |29.373          |28.827          |31.732          |27.492          |26.567          |31.739          |32.408          |25.821          |31.677          |30.152          |33.865          |30.358          |30.552          |28.256          |29.060          |31.572          |23.697          |37.955          |29.845          |27.217          |28.018          |34.434          |29.324          |31.967          |30.045          |29.938          |27.076          |30.561          |32.161          |29.448          |22.053          |
08.07.2013 08:02:00.000 |27.627          |29.925          |31.189          |31.378          |32.507          |32.491          |29.600          |28.775          |25.864          |28.995          |32.759          |31.186          |33.022          |29.412          |34.730          |28.301          |31.784          |30.583          |33.518          |28.961          |28.822          |31.671          |27.569          |26.368          |31.639          |32.408          |25.866          |31.560          |30.139          |33.259          |30.457          |30.576          |28.161          |29.147          |31.448          |23.371          |36.882          |29.809          |27.154          |28.126          |34.308          |29.009          |32.582          |30.102          |29.836          |27.130          |30.583          |32.412          |29.356          |22.187          |
08.07.2013 08:02:10.000 |27.457          |29.955          |31.189          |31.378          |32.258          |32.400          |29.455          |28.697          |25.915          |28.602          |32.657          |31.187          |32.994          |29.382          |34.799          |28.552          |31.910          |30.881          |33.640          |29.162          |28.850          |31.750          |27.705          |26.339          |31.869          |32.284          |25.703          |31.645          |30.230          |33.488          |30.440          |30.513          |28.046          |29.147          |31.681          |23.665          |37.516          |29.974          |27.069          |28.126          |34.309          |29.089          |31.728          |30.077          |29.962          |27.095          |30.633          |32.327          |29.392          |22.418          |
08.07.2013 08:02:20.000 |27.195          |29.757          |31.181          |31.352          |32.382          |32.490          |29.461          |28.915          |26.022          |28.819          |32.657          |31.177          |33.191          |29.522          |34.555          |28.776          |31.902          |30.808          |33.565          |29.362          |28.913          |31.660          |27.360          |26.329          |31.709          |32.308          |25.623          |31.557          |30.226          |33.570          |30.540          |30.545          |28.177          |29.004          |31.391          |23.714          |37.740          |29.881          |27.187          |28.001          |34.309          |29.063          |32.610          |30.077          |29.867          |27.091          |30.551          |32.237          |29.295          |21.986          |
08.07.2013 08:02:30.000 |27.746          |29.760          |31.100          |31.352          |32.421          |32.403          |29.386          |28.876          |26.058          |28.715          |32.755          |31.159          |32.886          |29.612          |34.389          |28.640          |31.788          |30.644          |33.515          |29.338          |28.904          |31.682          |27.367          |26.310          |31.674          |32.326          |25.673          |31.585          |30.179          |32.550          |30.176          |30.430          |28.125          |28.976          |31.572          |23.633          |36.775          |29.816          |27.301          |28.122          |34.309          |28.949          |32.729          |30.077          |29.822          |26.958          |30.553          |32.187          |29.360          |21.934          |
08.07.2013 08:02:40.000 |27.662          |29.715          |31.178          |31.340          |32.433          |32.424          |29.374          |28.781          |25.974          |28.826          |32.612          |31.246          |32.885          |29.379          |34.678          |28.553          |31.808          |30.817          |33.373          |29.311          |28.989          |31.555          |27.551          |26.310          |31.686          |32.326          |25.758          |31.561          |30.178          |32.482          |30.549          |30.484          |28.080          |29.104          |31.562          |23.291          |37.692          |29.893          |27.215          |28.062          |34.309          |28.969          |32.588          |30.077          |29.834          |27.004          |30.381          |32.303          |29.442          |22.021          |
08.07.2013 08:02:50.000 |27.858          |29.775          |31.178          |31.340          |32.410          |32.416          |29.465          |28.821          |26.030          |28.878          |32.630          |31.013          |33.081          |29.513          |34.699          |28.062          |31.910          |30.784          |33.616          |29.449          |28.805          |31.803          |27.354          |26.354          |31.686          |32.227          |25.810          |31.695          |30.030          |32.599          |30.401          |30.624          |28.122          |28.996          |31.510          |23.401          |36.600          |29.762          |27.153          |27.997          |34.366          |29.003          |32.070          |30.077          |30.014          |27.067          |30.519          |32.151          |29.318          |22.017          |
08.07.2013 08:03:00.000 |27.400          |29.842          |31.311          |31.449          |32.264          |32.481          |29.463          |28.821          |25.948          |29.222          |32.630          |31.136          |32.938          |29.351          |34.821          |29.035          |32.213          |30.922          |33.598          |29.157          |28.912          |31.622          |27.473          |26.458          |31.755          |32.342          |25.754          |31.728          |30.259          |32.428          |30.488          |30.584          |28.237          |29.044          |31.424          |23.367          |36.910          |29.933          |27.182          |27.987          |34.366          |29.032          |32.356          |30.077          |29.620          |27.239          |30.543          |32.413          |29.357          |22.189          |
08.07.2013 08:03:10.000 |27.737          |29.715          |31.210          |31.449          |32.458          |32.475          |29.502          |29.053          |26.073          |28.757          |32.741          |31.207          |33.074          |29.540          |34.720          |28.628          |31.893          |30.973          |33.591          |29.357          |28.983          |31.854          |27.577          |26.458          |31.801          |32.454          |25.833          |31.717          |30.334          |32.598          |30.440          |30.588          |28.199          |29.052          |31.532          |23.652          |37.881          |29.924          |27.266          |28.113          |34.366          |29.258          |32.691          |30.064          |29.580          |27.261          |30.651          |32.321          |29.493          |22.236          |
